content,label,filtered,cleaned,content_tokens,normalisasi
"tolong di acc yah mind,lg butuh buat biaya sekolah",0,tolong di acc yah mind lg butuh buat biaya sekolah,tolong acc mind butuh biaya sekolah,"['tolong', 'acc', 'mind', 'butuh', 'biaya', 'sekolah']","['tolong', 'terima', 'mind', 'butuh', 'biaya', 'sekolah']"
"dengar dari banyak orang katanya memang mudah dan cepat pinjam di indo dana,, tapi saya baru mencoba dan belum tahu hasil nya",0,dengar dari banyak orang katanya memang mudah dan cepat pinjam di indo dana tapi saya baru mencoba dan belum tahu hasil nya,dengar banyak orang kata mudah cepat pinjam indo dana tapi saya baru coba belum tahu hasil,"['dengar', 'banyak', 'orang', 'kata', 'mudah', 'cepat', 'pinjam', 'indo', 'dana', 'tapi', 'saya', 'baru', 'coba', 'belum', 'tahu', 'hasil']","['dengar', 'banyak', 'orang', 'kata', 'mudah', 'cepat', 'pinjam', 'indonesia', 'dana', 'tapi', 'aku', 'baru', 'coba', 'belum', 'tahu', 'hasil']"
semoga berhsil kali ini ya,0,semoga berhsil kali ini ya,moga berhsil kali ya,"['moga', 'berhsil', 'kali', 'ya']","['semoga', 'berhsil', 'kali', 'ya']"
masih percobaan klw emang pinjamannya cair baru kasih 5 bintang,0,masih percobaan klw emang pinjamannya cair baru kasih bintang,masih coba klw emang pinjam cair baru kasih bintang,"['masih', 'coba', 'klw', 'emang', 'pinjam', 'cair', 'baru', 'kasih', 'bintang']","['masih', 'coba', 'klw', 'memang', 'pinjam', 'cair', 'baru', 'kasih', 'bintang']"
"pendaftaran nya gak ribeut, walau pun gak tau apa hasilnya",0,pendaftaran nya gak ribeut walau pun gak tau apa hasilnya,daftar gak ribeut walau gak tau apa hasil,"['daftar', 'gak', 'ribeut', 'walau', 'gak', 'tau', 'apa', 'hasil']","['daftar', 'tidak', 'ribeut', 'walau', 'tidak', 'tau', 'apa', 'hasil']"
"baru download , mudahan lolos verifikasi untuk pinjaman area malang",0,baru download mudahan lolos verifikasi untuk pinjaman area malang,baru download mudah lolos verifikasi untuk pinjam area malang,"['baru', 'download', 'mudah', 'lolos', 'verifikasi', 'untuk', 'pinjam', 'area', 'malang']","['baru', 'unduh', 'mudah', 'lolos', 'verifikasi', 'untuk', 'pinjam', 'area', 'malang']"
sudh bisa di pakai lagi di alfa yoii,0,sudh bisa di pakai lagi di alfa yoii,sudh bisa pakai di alfa yoii,"['sudh', 'bisa', 'pakai', 'di', 'alfa', 'yoii']","['sudh', 'bisa', 'pakai', 'di', 'alpa', 'yoii']"
expansi indramayu,0,expansi indramayu,expansi indramayu,"['expansi', 'indramayu']","['expansi', 'indramayu']"
bintang 3 dlu klau di kasih baru 5,0,bintang dlu klau di kasih baru,bintang dlu klau kasih baru,"['bintang', 'dlu', 'klau', 'kasih', 'baru']","['bintang', 'dulu', 'kalau', 'kasih', 'baru']"
g pernah lolos mulu,0,g pernah lolos mulu,g pernah lolos mulu,"['g', 'pernah', 'lolos', 'mulu']","['tidak', 'pernah', 'lolos', 'selalu']"
mohon maaf. akun yg sudah di daftarlan ke aplikasi indodana salah. bukan akun saya. tlg bantu menghapus nya admin,0,mohon maaf akun yg sudah di daftarlan ke aplikasi indodana salah bukan akun saya tlg bantu menghapus nya admin,mohon maaf akun sudah daftarlan aplikasi indodana salah bukan akun saya tlg bantu hapus admin,"['mohon', 'maaf', 'akun', 'sudah', 'daftarlan', 'aplikasi', 'indodana', 'salah', 'bukan', 'akun', 'saya', 'tlg', 'bantu', 'hapus', 'admin']","['mohon', 'maaf', 'akun', 'sudah', 'daftarlan', 'aplikasi', 'indodana', 'salah', 'bukan', 'akun', 'aku', 'tolong', 'bantu', 'hapus', 'admin']"
4 dulu ya kalo acc gampang saya kasih lima ok,0,dulu ya kalo acc gampang saya kasih lima ok,dulu kalo acc gampang saya kasih lima ok,"['dulu', 'kalo', 'acc', 'gampang', 'saya', 'kasih', 'lima', 'ok']","['dulu', 'kalau', 'terima', 'gampang', 'aku', 'kasih', 'lima', 'ok']"
"udah coba kesekian kali tpi di tolak terus, pdahal data yang di masukan sudah bener, ini percobaan terakhir, klo acc baru bintang nya full",0,udah coba kesekian kali tpi di tolak terus pdahal data yang di masukan sudah bener ini percobaan terakhir klo acc baru bintang nya full,udah coba sekian kali tpi tolak pdahal data di masuk sudah bener coba akhir klo acc baru bintang full,"['udah', 'coba', 'sekian', 'kali', 'tpi', 'tolak', 'pdahal', 'data', 'di', 'masuk', 'sudah', 'bener', 'coba', 'akhir', 'klo', 'acc', 'baru', 'bintang', 'full']","['sudah', 'coba', 'sekian', 'kali', 'tapi', 'tolak', 'padahal', 'data', 'di', 'masuk', 'sudah', 'benar', 'coba', 'akhir', 'kalau', 'terima', 'baru', 'bintang', 'penuh']"
maaf saya gak jadi pinjam tgl 19 february 2023.. tolong jaga data saya ...saya tidak bertanggung jawab jika ada tagihan atas nama saya... terimakasih....,0,maaf saya gak jadi pinjam tgl february tolong jaga data saya saya tidak bertanggung jawab jika ada tagihan atas nama saya terimakasih,maaf saya gak jadi pinjam tgl february tolong jaga data saya saya tidak tanggung jawab jika ada tagih atas nama saya terimakasih,"['maaf', 'saya', 'gak', 'jadi', 'pinjam', 'tgl', 'february', 'tolong', 'jaga', 'data', 'saya', 'saya', 'tidak', 'tanggung', 'jawab', 'jika', 'ada', 'tagih', 'atas', 'nama', 'saya', 'terimakasih']","['maaf', 'aku', 'tidak', 'jadi', 'pinjam', 'tanggal', 'februari', 'tolong', 'jaga', 'data', 'aku', 'aku', 'tidak', 'tanggung', 'jawab', 'jika', 'ada', 'tagih', 'atas', 'nama', 'aku', 'terimakasih']"
bintang 4 dlu semoga di acc,0,bintang dlu semoga di acc,bintang dlu moga acc,"['bintang', 'dlu', 'moga', 'acc']","['bintang', 'dulu', 'semoga', 'terima']"
halo ini gmna sya blm terima uang pinjaman . knpa muncul biaya tagihan pinjaman ?? harus gimana ? saya punya bukti mutasi rek..,0,halo ini gmna sya blm terima uang pinjaman knpa muncul biaya tagihan pinjaman harus gimana saya punya bukti mutasi rek,halo gmna sya blm terima uang pinjam knpa muncul biaya tagih pinjam harus gimana saya punya bukti mutasi rek,"['halo', 'gmna', 'sya', 'blm', 'terima', 'uang', 'pinjam', 'knpa', 'muncul', 'biaya', 'tagih', 'pinjam', 'harus', 'gimana', 'saya', 'punya', 'bukti', 'mutasi', 'rek']","['halo', 'gmna', 'aku', 'belum', 'terima', 'uang', 'pinjam', 'kenapa', 'muncul', 'biaya', 'tagih', 'pinjam', 'harus', 'gimana', 'aku', 'punya', 'bukti', 'mutasi', 'teman']"
saya kasih bintang 5 semoga di acc,0,saya kasih bintang semoga di acc,saya kasih bintang moga acc,"['saya', 'kasih', 'bintang', 'moga', 'acc']","['aku', 'kasih', 'bintang', 'semoga', 'terima']"
ggal trus pengajuan nya.....udh brpa x....,0,ggal trus pengajuan nya udh brpa x,ggal trus aju udh brpa,"['ggal', 'trus', 'aju', 'udh', 'brpa']","['ggal', 'terus', 'aju', 'sudah', 'berapa']"
coba coba,0,coba coba,coba coba,"['coba', 'coba']","['coba', 'coba']"
belum lolos juga.. mesti nunggu 1 mei.. mending ga usah.. hapus data data saya.. saya uniistal.. iplikasi ini trimakasih 19 02 2023,0,belum lolos juga mesti nunggu mei mending ga usah hapus data data saya saya uniistal iplikasi ini trimakasih,belum lolos mesti nunggu mei mending ga usah hapus data data saya saya uniistal iplikasi trimakasih,"['belum', 'lolos', 'mesti', 'nunggu', 'mei', 'mending', 'ga', 'usah', 'hapus', 'data', 'data', 'saya', 'saya', 'uniistal', 'iplikasi', 'trimakasih']","['belum', 'lolos', 'mesti', 'nunggu', 'mei', 'mending', 'tidak', 'usah', 'hapus', 'data', 'data', 'aku', 'aku', 'uniistal', 'iplikasi', 'trimakasih']"
"tolong data-data saya dihapus karena saya tidak jadi meminjam. saya uninstall apk ini jadi tolong data saya dihapus, masa saya udah masuk kan semua data langsung ditolak, padahal saya baru saja menggunakan apk ini",0,tolong data data saya dihapus karena saya tidak jadi meminjam saya uninstall apk ini jadi tolong data saya dihapus masa saya udah masuk kan semua data langsung ditolak padahal saya baru saja menggunakan apk ini,tolong data data saya hapus saya tidak jadi pinjam saya uninstall apk jadi tolong data saya hapus masa saya udah masuk semua data langsung tolak padahal saya baru guna apk,"['tolong', 'data', 'data', 'saya', 'hapus', 'saya', 'tidak', 'jadi', 'pinjam', 'saya', 'uninstall', 'apk', 'jadi', 'tolong', 'data', 'saya', 'hapus', 'masa', 'saya', 'udah', 'masuk', 'semua', 'data', 'langsung', 'tolak', 'padahal', 'saya', 'baru', 'guna', 'apk']","['tolong', 'data', 'data', 'aku', 'hapus', 'aku', 'tidak', 'jadi', 'pinjam', 'aku', 'uninstall', 'aplikasi', 'jadi', 'tolong', 'data', 'aku', 'hapus', 'masa', 'aku', 'sudah', 'masuk', 'semua', 'data', 'langsung', 'tolak', 'padahal', 'aku', 'baru', 'guna', 'aplikasi']"
kenapa limit saya di non aktifkan.? tidak ada kejelasan jadi non aktif,0,kenapa limit saya di non aktifkan tidak ada kejelasan jadi non aktif,kenapa limit saya non aktif tidak ada jelas jadi non aktif,"['kenapa', 'limit', 'saya', 'non', 'aktif', 'tidak', 'ada', 'jelas', 'jadi', 'non', 'aktif']","['kenapa', 'limit', 'aku', 'non', 'aktif', 'tidak', 'ada', 'jelas', 'jadi', 'non', 'aktif']"
3 dulu saja,0,dulu saja,dulu,['dulu'],['dulu']
segini dulu ya karna blm ada konfirmasi.,0,segini dulu ya karna blm ada konfirmasi,gin dulu karna blm ada konfirmasi,"['gin', 'dulu', 'karna', 'blm', 'ada', 'konfirmasi']","['gin', 'dulu', 'karena', 'belum', 'ada', 'konfirmasi']"
"pas pngjuan ok lancar jaya,,tapi skrg gk bisa masuk ....tolong dataku jgn di salah gunakan,,nanti kalo sampai ada yg nagih,,gk bakalan tak byr,,msk gk bisa masuk",0,pas pngjuan ok lancar jaya tapi skrg gk bisa masuk tolong dataku jgn di salah gunakan nanti kalo sampai ada yg nagih gk bakalan tak byr msk gk bisa masuk,pngjuan ok lancar jaya tapi skrg gk bisa masuk tolong data jgn salah guna nanti kalo sampai ada nagih gk bakal tak byr msk gk bisa masuk,"['pngjuan', 'ok', 'lancar', 'jaya', 'tapi', 'skrg', 'gk', 'bisa', 'masuk', 'tolong', 'data', 'jgn', 'salah', 'guna', 'nanti', 'kalo', 'sampai', 'ada', 'nagih', 'gk', 'bakal', 'tak', 'byr', 'msk', 'gk', 'bisa', 'masuk']","['pngjuan', 'ok', 'lancar', 'jaya', 'tapi', 'sekarang', 'tidak', 'bisa', 'masuk', 'tolong', 'data', 'jangan', 'salah', 'guna', 'nanti', 'kalau', 'sampai', 'ada', 'nagih', 'tidak', 'akan', 'tidak', 'byr', 'masuk', 'tidak', 'bisa', 'masuk']"
baru pertama kali pake aplikasi ini semoga di acc saya kasi bintang 3 dulu,0,baru pertama kali pake aplikasi ini semoga di acc saya kasi bintang dulu,baru pertama kali pake aplikasi moga acc saya bintang dulu,"['baru', 'pertama', 'kali', 'pake', 'aplikasi', 'moga', 'acc', 'saya', 'bintang', 'dulu']","['baru', 'pertama', 'kali', 'pakai', 'aplikasi', 'semoga', 'terima', 'aku', 'bintang', 'dulu']"
mau di coba dulu,0,mau di coba dulu,di coba dulu,"['di', 'coba', 'dulu']","['di', 'coba', 'dulu']"
"saya kasih bintang 5 lagi.. akun,a udh aktif lagi. terimakasih",0,saya kasih bintang lagi akun a udh aktif lagi terimakasih,saya kasih bintang akun a udh aktif terimakasih,"['saya', 'kasih', 'bintang', 'akun', 'a', 'udh', 'aktif', 'terimakasih']","['aku', 'kasih', 'bintang', 'akun', 'a', 'sudah', 'aktif', 'terimakasih']"
semoga,0,semoga,moga,['moga'],['semoga']
"ksih 2 bintang dulu, klw lancar di proses saya tmbahin bintang",0,ksih bintang dulu klw lancar di proses saya tmbahin bintang,ksih bintang dulu klw lancar proses saya tmbahin bintang,"['ksih', 'bintang', 'dulu', 'klw', 'lancar', 'proses', 'saya', 'tmbahin', 'bintang']","['ksih', 'bintang', 'dulu', 'klw', 'lancar', 'proses', 'aku', 'tmbahin', 'bintang']"
acc dong,0,acc dong,acc,['acc'],['terima']
bismillah di terimah ya allah,0,bismillah di terimah ya allah,bismillah terimah allah,"['bismillah', 'terimah', 'allah']","['bismillah', 'terimah', 'allah']"
mudah2han bisa si bantu,0,mudah han bisa si bantu,mudah han bisa bantu,"['mudah', 'han', 'bisa', 'bantu']","['mudah', 'han', 'bisa', 'bantu']"
bintang 3 dulu karena pemula,0,bintang dulu karena pemula,bintang dulu mula,"['bintang', 'dulu', 'mula']","['bintang', 'dulu', 'mula']"
semogga az d acc,0,semogga az d acc,semogga az acc,"['semogga', 'az', 'acc']","['semogga', 'az', 'terima']"
"karna pengajuan pijeman pertama ga di acc jadi aplikasii mau saya hapus. tolong di jaga ia data"" saya",0,karna pengajuan pijeman pertama ga di acc jadi aplikasii mau saya hapus tolong di jaga ia data saya,karna aju pijeman pertama ga acc jadi aplikasi saya hapus tolong jaga ia data saya,"['karna', 'aju', 'pijeman', 'pertama', 'ga', 'acc', 'jadi', 'aplikasi', 'saya', 'hapus', 'tolong', 'jaga', 'ia', 'data', 'saya']","['karena', 'aju', 'pijeman', 'pertama', 'tidak', 'terima', 'jadi', 'aplikasi', 'aku', 'hapus', 'tolong', 'jaga', 'ia', 'data', 'aku']"
mohon disetujui,0,mohon disetujui,mohon tuju,"['mohon', 'tuju']","['mohon', 'tuju']"
bgni ajah dluh bintang.nya nnti tambah lgi klw di acc,0,bgni ajah dluh bintang nya nnti tambah lgi klw di acc,bgni ajah dluh bintang nnti tambah lgi klw acc,"['bgni', 'ajah', 'dluh', 'bintang', 'nnti', 'tambah', 'lgi', 'klw', 'acc']","['bgni', 'ajah', 'dluh', 'bintang', 'nanti', 'tambah', 'lagi', 'klw', 'terima']"
saya mohon data2 saya di hapus,0,saya mohon data saya di hapus,saya mohon data saya hapus,"['saya', 'mohon', 'data', 'saya', 'hapus']","['aku', 'mohon', 'data', 'aku', 'hapus']"
"semoga di acc yaa limit paylaternya , banyak yg bilang bunga nya rendah",0,semoga di acc yaa limit paylaternya banyak yg bilang bunga nya rendah,moga acc limit paylaternya banyak bilang bunga rendah,"['moga', 'acc', 'limit', 'paylaternya', 'banyak', 'bilang', 'bunga', 'rendah']","['semoga', 'terima', 'limit', 'paylaternya', 'banyak', 'bilang', 'bunga', 'rendah']"
bismillahh... semoga bisa membantu,0,bismillahh semoga bisa membantu,bismillahh moga bisa bantu,"['bismillahh', 'moga', 'bisa', 'bantu']","['bismillahh', 'semoga', 'bisa', 'bantu']"
banda aceh boss,0,banda aceh boss,banda aceh boss,"['banda', 'aceh', 'boss']","['banda', 'aceh', 'bos']"
bintang 2 dulu bos karna pengajuan saya belum di acc,0,bintang dulu bos karna pengajuan saya belum di acc,bintang dulu bos karna aju saya belum acc,"['bintang', 'dulu', 'bos', 'karna', 'aju', 'saya', 'belum', 'acc']","['bintang', 'dulu', 'bos', 'karena', 'aju', 'aku', 'belum', 'terima']"
sedang dicoba,0,sedang dicoba,sedang coba,"['sedang', 'coba']","['sedang', 'coba']"
kalo berhasil baru bintang 5,0,kalo berhasil baru bintang,kalo hasil baru bintang,"['kalo', 'hasil', 'baru', 'bintang']","['kalau', 'hasil', 'baru', 'bintang']"
satu saja dulu jika belum di acc,0,satu saja dulu jika belum di acc,satu dulu jika belum acc,"['satu', 'dulu', 'jika', 'belum', 'acc']","['satu', 'dulu', 'jika', 'belum', 'terima']"
apakah tembus?,0,apakah tembus,apakah tembus,"['apakah', 'tembus']","['apakah', 'tembus']"
"semoga cpt d acc, amin",0,semoga cpt d acc amin,moga cpt acc amin,"['moga', 'cpt', 'acc', 'amin']","['semoga', 'cepat', 'terima', 'amin']"
mudah2an di beri jln kemudahan untuk pengajuan sy,0,mudah an di beri jln kemudahan untuk pengajuan sy,mudah di beri jln mudah untuk aju sy,"['mudah', 'di', 'beri', 'jln', 'mudah', 'untuk', 'aju', 'sy']","['mudah', 'di', 'beri', 'jln', 'mudah', 'untuk', 'aju', 'saya']"
bintang 4 dulu kalau sudah acc baru bintang 5,0,bintang dulu kalau sudah acc baru bintang,bintang dulu kalau sudah acc baru bintang,"['bintang', 'dulu', 'kalau', 'sudah', 'acc', 'baru', 'bintang']","['bintang', 'dulu', 'kalau', 'sudah', 'terima', 'baru', 'bintang']"
"saya kasih bintang 5 langsung,. semoga ajuan saya di acc",0,saya kasih bintang langsung semoga ajuan saya di acc,saya kasih bintang langsung moga aju saya acc,"['saya', 'kasih', 'bintang', 'langsung', 'moga', 'aju', 'saya', 'acc']","['aku', 'kasih', 'bintang', 'langsung', 'semoga', 'aju', 'aku', 'terima']"
tes dlu,0,tes dlu,tes dlu,"['tes', 'dlu']","['tes', 'dulu']"
bismillah semoga kali ini di acc dan membantu untuk mengubah kehidupan,0,bismillah semoga kali ini di acc dan membantu untuk mengubah kehidupan,bismillah moga kali di acc bantu untuk ubah hidup,"['bismillah', 'moga', 'kali', 'di', 'acc', 'bantu', 'untuk', 'ubah', 'hidup']","['bismillah', 'semoga', 'kali', 'di', 'terima', 'bantu', 'untuk', 'ubah', 'hidup']"
semoga di acc...,0,semoga di acc,moga acc,"['moga', 'acc']","['semoga', 'terima']"
3 bintang dulu klo d acc tambah bintang lagi. untuk proses pengajuan sangat mudah semoga mudah d acc pula,0,bintang dulu klo d acc tambah bintang lagi untuk proses pengajuan sangat mudah semoga mudah d acc pula,bintang dulu klo acc tambah bintang untuk proses aju sangat mudah moga mudah acc pula,"['bintang', 'dulu', 'klo', 'acc', 'tambah', 'bintang', 'untuk', 'proses', 'aju', 'sangat', 'mudah', 'moga', 'mudah', 'acc', 'pula']","['bintang', 'dulu', 'kalau', 'terima', 'tambah', 'bintang', 'untuk', 'proses', 'aju', 'sangat', 'mudah', 'semoga', 'mudah', 'terima', 'pula']"
wilayah aceh,0,wilayah aceh,wilayah aceh,"['wilayah', 'aceh']","['wilayah', 'aceh']"
baru mengajukan pinjaman mudah mudahan di acc,0,baru mengajukan pinjaman mudah mudahan di acc,baru aju pinjam mudah mudah acc,"['baru', 'aju', 'pinjam', 'mudah', 'mudah', 'acc']","['baru', 'aju', 'pinjam', 'mudah', 'mudah', 'terima']"
semoga di terima ajukan saya ini,0,semoga di terima ajukan saya ini,moga terima aju saya,"['moga', 'terima', 'aju', 'saya']","['semoga', 'terima', 'aju', 'aku']"
semoga aja di acc,0,semoga aja di acc,moga di acc,"['moga', 'di', 'acc']","['semoga', 'di', 'terima']"
semoga ada jalan untuk anak saya,0,semoga ada jalan untuk anak saya,moga ada jalan untuk anak saya,"['moga', 'ada', 'jalan', 'untuk', 'anak', 'saya']","['semoga', 'ada', 'jalan', 'untuk', 'anak', 'aku']"
semoga kali ini di acc pengajuan kesekian kalinya,0,semoga kali ini di acc pengajuan kesekian kalinya,moga kali di acc aju sekian kali,"['moga', 'kali', 'di', 'acc', 'aju', 'sekian', 'kali']","['semoga', 'kali', 'di', 'terima', 'aju', 'sekian', 'kali']"
semoga bermanfaat.,0,semoga bermanfaat,moga manfaat,"['moga', 'manfaat']","['semoga', 'manfaat']"
bintang tiga dulu,0,bintang tiga dulu,bintang tiga dulu,"['bintang', 'tiga', 'dulu']","['bintang', 'tiga', 'dulu']"
semoga bisa mengajukan,0,semoga bisa mengajukan,moga bisa aju,"['moga', 'bisa', 'aju']","['semoga', 'bisa', 'aju']"
semoga lebih baik,0,semoga lebih baik,moga lebih baik,"['moga', 'lebih', 'baik']","['semoga', 'lebih', 'baik']"
bismillah semoga diterima pengajuan nya,0,bismillah semoga diterima pengajuan nya,bismillah moga terima aju,"['bismillah', 'moga', 'terima', 'aju']","['bismillah', 'semoga', 'terima', 'aju']"
saya berharap banget bisa di acc,0,saya berharap banget bisa di acc,saya harap bisa acc,"['saya', 'harap', 'bisa', 'acc']","['aku', 'harap', 'bisa', 'terima']"
cb dulu..mg berhasil,0,cb dulu mg berhasil,cb dulu mg hasil,"['cb', 'dulu', 'mg', 'hasil']","['coba', 'dulu', 'semoga', 'hasil']"
klo d acc bintang full,0,klo d acc bintang full,klo acc bintang full,"['klo', 'acc', 'bintang', 'full']","['kalau', 'terima', 'bintang', 'penuh']"
berharap di acc lagi membutuhkan dana dadakan,0,berharap di acc lagi membutuhkan dana dadakan,harap acc butuh dana dada,"['harap', 'acc', 'butuh', 'dana', 'dada']","['harap', 'terima', 'butuh', 'dana', 'dada']"
kasi bintang 4semoga disetujui,0,kasi bintang semoga disetujui,bintang moga tuju,"['bintang', 'moga', 'tuju']","['bintang', 'semoga', 'tuju']"
kasih bintang 3 dulu. soalnya baru nge klik. blm paham smpai ke titik pencairan.. tp ga ribet pengajuanya,0,kasih bintang dulu soalnya baru nge klik blm paham smpai ke titik pencairan tp ga ribet pengajuanya,kasih bintang dulu soal baru klik blm paham smpai titik cair ga ribet pengajuanya,"['kasih', 'bintang', 'dulu', 'soal', 'baru', 'klik', 'blm', 'paham', 'smpai', 'titik', 'cair', 'ga', 'ribet', 'pengajuanya']","['kasih', 'bintang', 'dulu', 'soal', 'baru', 'klik', 'belum', 'paham', 'smpai', 'titik', 'cair', 'tidak', 'ribet', 'pengajuanya']"
cepat isi formulir nya semoga di acc,0,cepat isi formulir nya semoga di acc,cepat isi formulir moga acc,"['cepat', 'isi', 'formulir', 'moga', 'acc']","['cepat', 'isi', 'formulir', 'semoga', 'terima']"
"kalo bisa jangan di update trus, mending kalo hp ramnya gede, saya mau bayar angsuran jadi harus update dulu",0,kalo bisa jangan di update trus mending kalo hp ramnya gede saya mau bayar angsuran jadi harus update dulu,kalo bisa jangan update trus mending kalo hp ram gede saya bayar angsur jadi harus update dulu,"['kalo', 'bisa', 'jangan', 'update', 'trus', 'mending', 'kalo', 'hp', 'ram', 'gede', 'saya', 'bayar', 'angsur', 'jadi', 'harus', 'update', 'dulu']","['kalau', 'bisa', 'jangan', 'update', 'terus', 'mending', 'kalau', 'hp', 'ram', 'gede', 'aku', 'bayar', 'angsur', 'jadi', 'harus', 'update', 'dulu']"
4 dulu semoga bermanfaat,0,dulu semoga bermanfaat,dulu moga manfaat,"['dulu', 'moga', 'manfaat']","['dulu', 'semoga', 'manfaat']"
semoga lancar.,0,semoga lancar,moga lancar,"['moga', 'lancar']","['semoga', 'lancar']"
untuk sementara bintang dia dulu,0,untuk sementara bintang dia dulu,untuk sementara bintang dia dulu,"['untuk', 'sementara', 'bintang', 'dia', 'dulu']","['untuk', 'sementara', 'bintang', 'dia', 'dulu']"
tangerang banten,0,tangerang banten,tangerang banten,"['tangerang', 'banten']","['tangerang', 'banten']"
mudah mudahan,0,mudah mudahan,mudah mudah,"['mudah', 'mudah']","['mudah', 'mudah']"
tingkatkan lg,0,tingkatkan lg,tingkat,['tingkat'],['tingkat']
5 bintang jika diacc,0,bintang jika diacc,bintang jika diacc,"['bintang', 'jika', 'diacc']","['bintang', 'jika', 'terima']"
bintang 3 dulu klo cair aku tambahin,0,bintang dulu klo cair aku tambahin,bintang dulu klo cair aku tambahin,"['bintang', 'dulu', 'klo', 'cair', 'aku', 'tambahin']","['bintang', 'dulu', 'kalau', 'cair', 'aku', 'tambahin']"
knpa saya gk bsa buka aplksi ini,0,knpa saya gk bsa buka aplksi ini,knpa saya gk bsa buka aplksi,"['knpa', 'saya', 'gk', 'bsa', 'buka', 'aplksi']","['kenapa', 'aku', 'tidak', 'bisa', 'buka', 'aplksi']"
mudah2 an dapat limit aminn..,0,mudah an dapat limit aminn,mudah dapat limit aminn,"['mudah', 'dapat', 'limit', 'aminn']","['mudah', 'dapat', 'limit', 'amin']"
